date;heure;CO;PM25;PM10;O3;NO2
;;mg/m3;microg/m3;microg/m3;microg/m3;microg/m3
01/01/2018;1;n/d;9;15;67;17
01/01/2018;2;n/d;6;13;70;14
01/01/2018;3;n/d;5;11;68;15
01/01/2018;4;n/d;4;15;67;13
01/01/2018;5;n/d;5;15;66;12
01/01/2018;6;n/d;7;17;61;15
01/01/2018;7;n/d;7;18;57;20
01/01/2018;8;n/d;7;12;60;15
01/01/2018;9;n/d;7;17;63;12
01/01/2018;10;n/d;7;19;62;16
01/01/2018;11;n/d;8;10;58;21
01/01/2018;12;n/d;10;7;58;21
01/01/2018;13;n/d;4;5;46;32
01/01/2018;14;n/d;4;5;58;27
01/01/2018;15;n/d;4;7;68;19
01/01/2018;16;n/d;4;7;65;19
01/01/2018;17;n/d;6;5;67;17
01/01/2018;18;n/d;4;4;66;18
01/01/2018;19;n/d;6;5;58;24
01/01/2018;20;n/d;8;10;60;23
01/01/2018;21;n/d;6;14;60;19
01/01/2018;22;n/d;6;15;60;17
01/01/2018;23;n/d;7;13;60;17
01/01/2018;24;n/d;8;13;64;15
02/01/2018;1;n/d;7;12;66;11
02/01/2018;2;n/d;4;15;67;9
02/01/2018;3;n/d;6;14;64;10
02/01/2018;4;n/d;6;16;64;10
02/01/2018;5;n/d;8;18;57;14
02/01/2018;6;n/d;8;18;41;30
02/01/2018;7;n/d;8;20;26;46
02/01/2018;8;n/d;10;22;24;47
02/01/2018;9;n/d;8;23;23;48
02/01/2018;10;n/d;10;22;22;52
02/01/2018;11;n/d;9;25;20;54
02/01/2018;12;n/d;12;29;28;46
02/01/2018;13;n/d;12;28;31;40
02/01/2018;14;n/d;12;24;38;35
02/01/2018;15;n/d;9;12;42;32
02/01/2018;16;n/d;7;7;36;38
02/01/2018;17;n/d;6;4;31;40
02/01/2018;18;n/d;7;7;29;42
02/01/2018;19;n/d;8;7;25;45
02/01/2018;20;n/d;8;8;26;41
02/01/2018;21;n/d;10;13;30;34
02/01/2018;22;n/d;9;10;37;27
02/01/2018;23;n/d;8;8;52;18
02/01/2018;24;n/d;9;11;58;12
03/01/2018;1;n/d;8;9;61;9
03/01/2018;2;n/d;3;6;60;7
03/01/2018;3;n/d;5;4;58;6
03/01/2018;4;n/d;n/d;4;59;6
03/01/2018;5;n/d;n/d;14;77;5
03/01/2018;6;n/d;8;10;67;13
03/01/2018;7;n/d;5;12;69;20
03/01/2018;8;n/d;7;3;70;19
03/01/2018;9;n/d;6;11;68;19
03/01/2018;10;n/d;9;12;67;21
03/01/2018;11;n/d;6;19;63;25
03/01/2018;12;n/d;9;26;64;22
03/01/2018;13;n/d;14;21;61;23
03/01/2018;14;n/d;12;24;60;25
03/01/2018;15;n/d;6;23;61;25
03/01/2018;16;n/d;9;25;52;32
03/01/2018;17;n/d;11;25;53;32
03/01/2018;18;n/d;11;25;52;32
03/01/2018;19;n/d;14;21;50;33
03/01/2018;20;n/d;14;22;48;32
03/01/2018;21;n/d;14;24;54;26
03/01/2018;22;n/d;14;17;69;18
03/01/2018;23;n/d;6;10;56;23
03/01/2018;24;n/d;6;11;47;26
04/01/2018;1;n/d;5;12;44;28
04/01/2018;2;n/d;6;10;42;27
04/01/2018;3;n/d;6;7;41;25
04/01/2018;4;n/d;5;4;42;23
04/01/2018;5;n/d;5;0;36;31
04/01/2018;6;n/d;3;3;13;55
04/01/2018;7;n/d;3;5;16;46
04/01/2018;8;n/d;3;2;30;30
04/01/2018;9;n/d;6;3;36;27
04/01/2018;10;n/d;6;4;37;26
04/01/2018;11;n/d;2;4;36;27
04/01/2018;12;n/d;1;3;41;22
04/01/2018;13;n/d;0;5;42;21
04/01/2018;14;n/d;5;7;43;20
04/01/2018;15;n/d;7;5;41;23
04/01/2018;16;n/d;6;6;59;21
04/01/2018;17;n/d;7;11;51;34
04/01/2018;18;n/d;9;16;47;38
04/01/2018;19;n/d;12;17;41;39
04/01/2018;20;n/d;14;25;43;36
04/01/2018;21;n/d;15;26;51;31
04/01/2018;22;n/d;15;25;51;28
04/01/2018;23;n/d;13;25;46;31
04/01/2018;24;n/d;11;19;57;20
05/01/2018;1;n/d;9;13;65;15
05/01/2018;2;n/d;8;13;68;11
05/01/2018;3;n/d;6;10;70;11
05/01/2018;4;n/d;2;6;76;9
05/01/2018;5;n/d;1;6;74;15
05/01/2018;6;n/d;5;6;52;34
05/01/2018;7;n/d;3;12;24;68
05/01/2018;8;n/d;6;10;26;65
05/01/2018;9;n/d;7;9;28;63
05/01/2018;10;n/d;5;14;31;56
05/01/2018;11;n/d;8;18;36;49
05/01/2018;12;n/d;7;20;42;44
05/01/2018;13;n/d;8;19;47;37
05/01/2018;14;n/d;12;21;50;36
05/01/2018;15;n/d;10;21;49;37
05/01/2018;16;n/d;7;12;46;38
05/01/2018;17;n/d;n/d;12;n/d;46
05/01/2018;18;n/d;n/d;14;32;52
05/01/2018;19;n/d;n/d;14;29;53
05/01/2018;20;n/d;n/d;19;33;48
05/01/2018;21;n/d;n/d;20;23;57
05/01/2018;22;n/d;n/d;20;15;65
05/01/2018;23;n/d;n/d;21;13;66
05/01/2018;24;n/d;n/d;24;15;62
06/01/2018;1;n/d;n/d;21;26;45
06/01/2018;2;n/d;n/d;20;26;43
06/01/2018;3;n/d;n/d;16;35;35
06/01/2018;4;n/d;n/d;12;46;26
06/01/2018;5;n/d;n/d;10;52;20
06/01/2018;6;n/d;n/d;10;51;21
06/01/2018;7;n/d;n/d;14;47;25
06/01/2018;8;n/d;n/d;14;45;27
06/01/2018;9;n/d;n/d;16;35;40
06/01/2018;10;n/d;n/d;15;29;46
06/01/2018;11;n/d;n/d;19;30;48
06/01/2018;12;n/d;n/d;22;25;51
06/01/2018;13;n/d;n/d;23;17;63
06/01/2018;14;n/d;n/d;24;20;59
06/01/2018;15;n/d;n/d;28;19;60
06/01/2018;16;n/d;n/d;25;21;59
06/01/2018;17;n/d;n/d;24;14;60
06/01/2018;18;n/d;n/d;24;18;52
06/01/2018;19;n/d;n/d;24;11;56
06/01/2018;20;n/d;n/d;27;8;59
06/01/2018;21;n/d;n/d;26;14;51
06/01/2018;22;n/d;n/d;23;20;41
06/01/2018;23;n/d;n/d;24;19;36
06/01/2018;24;n/d;n/d;25;20;31
07/01/2018;1;n/d;n/d;27;21;29
07/01/2018;2;n/d;n/d;26;27;26
07/01/2018;3;n/d;n/d;23;25;24
07/01/2018;4;n/d;n/d;26;23;24
07/01/2018;5;n/d;n/d;26;19;29
07/01/2018;6;n/d;n/d;31;18;32
07/01/2018;7;n/d;n/d;29;21;30
07/01/2018;8;n/d;n/d;30;21;28
07/01/2018;9;n/d;n/d;29;25;27
07/01/2018;10;n/d;n/d;28;24;27
07/01/2018;11;n/d;n/d;25;20;28
07/01/2018;12;n/d;n/d;26;22;29
07/01/2018;13;n/d;n/d;19;25;26
07/01/2018;14;n/d;n/d;14;23;28
07/01/2018;15;n/d;n/d;13;20;28
07/01/2018;16;n/d;n/d;14;15;30
07/01/2018;17;n/d;n/d;13;12;33
07/01/2018;18;n/d;n/d;9;12;31
07/01/2018;19;n/d;n/d;7;10;33
07/01/2018;20;n/d;n/d;9;12;30
07/01/2018;21;n/d;n/d;12;11;31
07/01/2018;22;n/d;n/d;11;10;32
07/01/2018;23;n/d;n/d;12;12;28
07/01/2018;24;n/d;n/d;13;13;27
08/01/2018;1;n/d;n/d;12;15;23
08/01/2018;2;n/d;n/d;11;17;20
08/01/2018;3;n/d;n/d;9;19;17
08/01/2018;4;n/d;n/d;8;22;17
08/01/2018;5;n/d;n/d;10;20;19
08/01/2018;6;n/d;n/d;10;15;27
08/01/2018;7;n/d;n/d;8;10;34
08/01/2018;8;n/d;n/d;12;7;36
08/01/2018;9;n/d;n/d;12;5;40
08/01/2018;10;n/d;n/d;20;11;33
08/01/2018;11;0;n/d;21;15;25
08/01/2018;12;0;n/d;20;17;23
08/01/2018;13;1;n/d;19;18;21
08/01/2018;14;1;n/d;19;16;24
08/01/2018;15;1;n/d;19;15;25
08/01/2018;16;1;n/d;20;8;33
08/01/2018;17;1;19;27;4;37
08/01/2018;18;1;21;25;3;40
08/01/2018;19;1;22;27;4;38
08/01/2018;20;1;21;28;4;37
08/01/2018;21;1;23;25;4;35
08/01/2018;22;1;23;25;5;33
08/01/2018;23;1;20;26;4;32
